iter	Passed	Remaining
420	2414	3320
421	2420	3314
422	2425	3308
423	2431	3303
424	2437	3297
425	2442	3291
426	2449	3286
427	2454	3280
428	2460	3275
429	2466	3269
430	2471	3263
431	2477	3257
432	2482	3251
433	2488	3245
434	2493	3239
435	2500	3234
436	2505	3228
437	2511	3222
438	2517	3216
439	2522	3210
440	2527	3204
441	2533	3198
442	2538	3192
443	2544	3186
444	2550	3180
445	2555	3174
446	2561	3169
447	2567	3163
448	2573	3158
449	2579	3152
450	2585	3146
451	2590	3141
452	2596	3135
453	2601	3129
454	2608	3124
455	2614	3118
456	2619	3112
457	2625	3107
458	2632	3102
459	2638	3096
460	2644	3092
461	2650	3086
462	2656	3080
463	2661	3074
464	2666	3067
465	2672	3062
466	2678	3056
467	2683	3050
468	2689	3044
469	2694	3038
470	2699	3032
471	2705	3026
472	2711	3020
473	2716	3014
474	2721	3008
475	2727	3002
476	2733	2996
477	2738	2990
478	2744	2985
479	2749	2978
480	2755	2973
481	2761	2967
482	2766	2961
483	2773	2956
484	2778	2950
485	2784	2944
486	2789	2938
487	2795	2932
488	2800	2926
489	2806	2921
490	2812	2915
491	2818	2909
492	2825	2905
493	2831	2900
494	2837	2894
495	2842	2888
496	2847	2882
497	2853	2876
498	2859	2870
499	2865	2865
500	2870	2859
501	2876	2853
502	2881	2847
503	2887	2841
504	2893	2836
505	2898	2830
506	2905	2825
507	2911	2819
508	2916	2813
509	2923	2808
510	2929	2803
511	2936	2798
512	2942	2793
513	2947	2786
514	2952	2780
515	2958	2774
516	2963	2768
517	2969	2763
518	2975	2757
519	2980	2751
520	2986	2745
521	2991	2739
522	2997	2733
523	3003	2728
524	3008	2722
525	3014	2716
526	3020	2711
527	3026	2705
528	3032	2699
529	3037	2693
530	3044	2689
531	3050	2683
532	3055	2677
533	3061	2671
534	3067	2665
535	3073	2660
536	3078	2654
537	3084	2648
538	3089	2642
539	3094	2636
540	3100	2630
541	3106	2625
542	3112	2619
543	3118	2613
544	3124	2608
545	3129	2602
546	3135	2596
547	3140	2590
548	3147	2585
549	3152	2579
550	3157	2573
551	3164	2568
552	3170	2562
553	3176	2556
554	3181	2551
555	3187	2545
556	3193	2539
557	3198	2533
558	3204	2527
559	3209	2521
